product_id,Prophet_RMSE,LSTM_RMSE,ARIMA_RMSE,Best_Model
P001,3.372143990573113,5.837822013648336,4.027223301894626,Prophet
P002,16.515742065136113,7.53841556283534,10.314814032304502,LSTM
P003,2.5110189351184338,4.328360100155279,2.2716425118222237,ARIMA
P004,1.5073992913296919,3.0809011575258056,1.55367022798771,Prophet
P005,2.7173873729863836,2.803957193230183,3.147528460663048,Prophet
P006,1.0968755024643557,1.6269255014114643,1.1121451097063384,Prophet
P007,3.7138996231611765,24.825322371711007,3.6944675151580055,ARIMA
P008,3.603907769983656,11.87564759747337,3.99527711187913,Prophet
P009,2.270056211297172,25.115085448587344,2.2277937242218835,ARIMA
P010,3.2304014466502826,9.037105787023817,4.029172249491211,Prophet
P011,3.001729716081456,10.083050138001358,3.14751913852278,Prophet
P012,3.0596420902316055,11.337464495921875,3.4071083033764564,Prophet
P013,1.451572462968239,7.440205827142428,1.226543757987742,ARIMA
P014,1.6888018227916215,5.0961992425100835,1.5881461783179769,ARIMA
P015,4.765619850084922,5.291440983963402,4.27695411184953,ARIMA
P016,1.7110567926078193,2.9555397454733634,1.7613618930178037,Prophet
P017,2.7715891051206385,3.0362081975403195,3.6830049527939543,Prophet
P018,2.749271887416637,4.218908462374078,2.6766190177692475,ARIMA
P019,3.5725514894463792,5.9507205943516635,3.0448043411532826,ARIMA
P020,3.081944887095576,6.63398996422658,3.092647244602425,Prophet
P021,1.6640674481678648,1.8707498063073726,1.6337278119060046,ARIMA
P022,1.2685578735413052,2.141837229288528,1.1651762507377326,ARIMA
P023,4.667796984586421,4.879356198602618,4.896194613065671,Prophet
P024,4.550459401622803,4.60702837678232,4.427418397350662,ARIMA
P025,19.37230728318123,11.581267760459264,17.997278424338386,LSTM
P026,4.271088899445976,2.771627689927835,2.953104967748409,LSTM
P027,1.5859698114293668,2.1153066240618754,1.3478340580630235,ARIMA
P028,3.7315940435731054,4.195135642076418,3.2830722950107813,ARIMA
P029,1.826031920186954,2.027676652392816,2.3259240094795017,Prophet
P030,4.373197972330903,9.865072934421967,4.523991382478612,Prophet
P031,6.400012876574137,8.515889742874373,6.799248790767785,Prophet
P032,4.277599497369303,22.82465295935173,4.676503861540221,Prophet
P033,10.713435117935672,8.069920163805545,7.924392892232674,ARIMA
P034,2.9736904975559186,4.457920637667652,2.742433153084605,ARIMA
P035,3.9906783938674497,10.637052992361404,4.94826567536298,Prophet
P036,3.7341846453211014,3.9090250152857036,4.0059202655998245,Prophet
P037,3.2430912606682503,8.162929328505054,3.2051346331710957,ARIMA
P038,1.6823014946191375,2.2628025758860457,1.6539395102706478,ARIMA
P039,3.088607716294283,9.90144688985884,3.12431765493502,Prophet
P040,4.129101573055744,3.859149262162443,3.7799548045690474,ARIMA
